MilkTv-大陸頻道,#genre#
星衛电影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477077.m3u8
博斯高球1,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477089.m3u8
博斯高球2,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477073.m3u8
博斯魅力,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477598.m3u8
博斯網球,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477602.m3u8
博斯運動 2,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477029.m3u8
大爱二台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/493133.m3u8
公视三台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/493131.m3u8
彭博财经台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/493132.m3u8
博斯無限 Ⅱ,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477604.m3u8
龍華洋片,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477076.m3u8
龍華日韓,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476231.m3u8
龍華經典,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476294.m3u8
龍華電影,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476300.m3u8
Hollywood,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477065.m3u8
龍華戲劇,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476293.m3u8
KLT靖天國際,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476254.m3u8
靖天電影,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476290.m3u8
靖天電影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477061.m3u8
靖天戲劇,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476302.m3u8
靖天卡通,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476249.m3u8
靖天日本,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476256.m3u8
靖天歡樂台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476255.m3u8
靖天欢乐,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476253.m3u8
靖天映畫,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476284.m3u8
靖天資訊台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476258.m3u8
靖天綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476259.m3u8
愛爾達影劇,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476282.m3u8
ELTA體育1高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477037.m3u8
愛爾達綜合高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477041.m3u8
ELTA 體育2,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477079.m3u8
ELTA体育2台（备）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488983.m3u8
ELTA 體育 3,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/483407.m3u8
AE,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476662.m3u8
壹綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476230.m3u8
搜索亞洲,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476238.m3u8
靖洋卡通,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476248.m3u8
Baby TV(台湾),http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476250.m3u8
搜索EVE,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476251.m3u8
ELTA綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476262.m3u8
